suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
# Strong Cross-Suite Swaps (Libero-Object -> Libero-90),,,,,,,
ER-OBJECT,KITCHEN SCENE1 put the alphabet soup on the plate,(On alphabet_soup_1 plate_1),"soup(L-Obj), plate(L90).",Object Shift: Soup (Clean Table) -> Kitchen Clutter.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE1_put_the_alphabet_soup_on_the_plate
ER-OBJECT,KITCHEN SCENE1 put the bbq sauce on the plate,(On bbq_sauce_1 plate_1),"bbq(L-Obj), plate(L90).",Object Shift: BBQ Sauce (Clean Table) -> Kitchen Clutter.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE1_put_the_bbq_sauce_on_the_plate
ER-OBJECT,KITCHEN SCENE2 put the cream cheese on the plate,(On cream_cheese_1 plate_1),"cream(L-Obj), plate(L90).",Object Shift: Cream Cheese (Clean Table) -> Kitchen Clutter.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE2_put_the_cream_cheese_on_the_plate
ER-OBJECT,KITCHEN SCENE3 put the ketchup on the stove,(On ketchup_1 stove_1),"ketchup(L-Obj), stove(L90).",Object Shift: Ketchup (Clean Table) -> Kitchen Stove.,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",KITCHEN_SCENE3_put_the_ketchup_on_the_stove
ER-OBJECT,KITCHEN SCENE3 put the tomato sauce on the stove,(On tomato_sauce_1 stove_1),"tomato(L-Obj), stove(L90).",Object Shift: Tomato Sauce (Clean Table) -> Kitchen Stove.,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",KITCHEN_SCENE3_put_the_tomato_sauce_on_the_stove
ER-OBJECT,LIVING ROOM SCENE1 pick up the bbq sauce and put it in the basket,(In bbq_sauce_1 basket_1),"bbq(L-Obj), basket(L90).",Object Shift: BBQ Sauce (Clean Table) -> Living Room.,Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE1_pick_up_the_bbq_sauce_and_put_it_in_the_basket
ER-OBJECT,LIVING ROOM SCENE1 pick up the alphabet soup and put it in the basket,(In alphabet_soup_1 basket_1),"soup(L-Obj), basket(L90).",Object Shift: Soup (Clean Table) -> Living Room.,Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket
ER-OBJECT,LIVING ROOM SCENE2 pick up the butter and put it in the basket,(In butter_1 basket_1),"butter(L-Obj), basket(L90).",Object Shift: Butter (Clean Table) -> Living Room.,Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket
ER-OBJECT,STUDY SCENE1 pick up the cream cheese and place it in the front compartment of the caddy,(In cream_cheese_1 caddy_front_compartment),"cream(L-Obj), caddy(L90).",Object Shift: Cream Cheese (Clean Table) -> Study Desk.,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",STUDY_SCENE1_pick_up_the_cream_cheese_and_place_it_in_the_front_compartment_of_the_caddy
ER-OBJECT,STUDY SCENE2 pick up the ketchup and place it in the right compartment of the caddy,(In ketchup_1 caddy_right_compartment),"ketchup(L-Obj), caddy(L90).",Object Shift: Ketchup (Clean Table) -> Study Desk.,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",STUDY_SCENE2_pick_up_the_ketchup_and_place_it_in_the_right_compartment_of_the_caddy
