suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
ER-GOAL,push the bowl to the front of the stove,(On bowl_1 target_region),"push(L-Goal: push_plate), bowl(L90/L-Goal: put_bowl_on_plate), stove(L-Goal: turn_on), front(L-Goal: push_plate_front).",novel binding of push x bowl.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",push_the_bowl_to_the_front_of_the_stove
ER-GOAL,push the wine bottle to the front of the stove,(On wine_bottle_1 target_region),"push(L-Goal), wine_bottle(L90: put_wine_rack).",novel binding of push x wine_bottle.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",push_the_wine_bottle_to_the_front_of_the_stove
ER-GOAL,push the cream cheese to the front of the stove,(On cream_cheese_1 target_region),"push(L-Goal), cream_cheese(L-Obj: pick_up/L90).",novel binding of push x cream_cheese.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",push_the_cream_cheese_to_the_front_of_the_stove
ER-GOAL,push the bowl to the left of the stove,(On bowl_1 target_region),"push(L-Goal), bowl(L90), left(L90: various).",novel spatial target for push (left vs front).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",push_the_bowl_to_the_left_of_the_stove
ER-GOAL,push the plate to the back of the stove,(On plate_1 target_region),"push(L-Goal), plate(L-Goal/L90), back(L90: various).",novel spatial target for push (back vs front).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",push_the_plate_to_the_back_of_the_stove
ER-GOAL,put the bowl in the middle drawer of the cabinet,(In bowl_1 middle_drawer_of_cabinet_1),"bowl(L90), middle_drawer(L-Goal: open_middle_drawer).",novel container for bowl (vs top/bottom drawer in L90).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_bowl_in_the_middle_drawer_of_the_cabinet
ER-GOAL,put the wine bottle in the middle drawer of the cabinet,(In wine_bottle_1 middle_drawer_of_cabinet_1),"wine(L90), middle_drawer(L-Goal).",novel container. WARNING: Verify wine bottle height vs drawer height.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_wine_bottle_in_the_middle_drawer_of_the_cabinet
ER-GOAL,put the cream cheese in the middle drawer of the cabinet,(In cream_cheese_1 middle_drawer_of_cabinet_1),"cream(L90/L-Obj), middle_drawer(L-Goal).",novel container.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_cream_cheese_in_the_middle_drawer_of_the_cabinet
ER-GOAL,put the butter on the plate,(On butter_1 plate_1),"butter(L90/L-Obj), plate(L90: put_bowl_on_plate).",novel placement (butter usually in basket/tray in L90).,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_butter_on_the_plate
ER-GOAL,put the ketchup on the plate,(On ketchup_1 plate_1),"ketchup(L90/L-Obj), plate(L90).",novel placement.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",put_the_ketchup_on_the_plate
