source,task,notes,scene,fixtures,language_instruction,bddl_goal,bddl_objects
libero_90,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",close the top drawer of the cabinet,(And (Close wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; butter_1 butter_2 - butter; chocolate_pudding_1 - chocolate_pudding
libero_90,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",close the top drawer of the cabinet and put the black bowl on top of it,(And (Close wooden_cabinet_1_top_region) (On akita_black_bowl_1 wooden_cabinet_1_top_side),akita_black_bowl_1 - akita_black_bowl; butter_1 butter_2 - butter; chocolate_pudding_1 - chocolate_pudding
libero_90,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the black bowl in the top drawer of the cabinet,(And (In akita_black_bowl_1 wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; butter_1 butter_2 - butter; chocolate_pudding_1 - chocolate_pudding
libero_90,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the butter at the back in the top drawer of the cabinet and close it,(And (In butter_2 wooden_cabinet_1_top_region) (Close wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; butter_1 butter_2 - butter; chocolate_pudding_1 - chocolate_pudding
libero_90,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the butter at the front in the top drawer of the cabinet and close it,(And (In butter_1 wooden_cabinet_1_top_region) (Close wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; butter_1 butter_2 - butter; chocolate_pudding_1 - chocolate_pudding
libero_90,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the chocolate pudding in the top drawer of the cabinet and close it,(And (In chocolate_pudding_1 wooden_cabinet_1_top_region) (Close wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; butter_1 butter_2 - butter; chocolate_pudding_1 - chocolate_pudding
libero_90,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",open the bottom drawer of the cabinet,(And (Open wooden_cabinet_1_bottom_region),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",open the top drawer of the cabinet,(And (Open wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",open the top drawer of the cabinet and put the bowl in it,(And (Open wooden_cabinet_1_top_region) (In akita_black_bowl_1 wooden_cabinet_1_top_region),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the black bowl on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate
libero_90,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,L90 Base Task,Kitchen,"kitchen_table (kitchen_table), wooden_cabinet_1 (wooden_cabinet)",put the black bowl on top of the cabinet,(And (On akita_black_bowl_1 wooden_cabinet_1_top_side),akita_black_bowl_1 - akita_black_bowl; plate_1 - plate
