suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
ER-SPATIAL,pick up the black bowl next to the cookie box and place it on the plate,(On black_bowl_1 plate_1),"next_to(L-Spatial: ramekin), cookie_box(L-Spatial: on), bowl(L90).",applying 'next_to' relation to cookie_box.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl next to the plate and place it on the plate,(On black_bowl_1 plate_1),"next_to(L-Spatial), plate(L90).",applying 'next_to' to plate.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl on the wooden cabinet and place it on the plate,(On black_bowl_1 plate_1),"on(L90/L-Spatial), cabinet(L90).",bowl 'on' cabinet in Spatial scene.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,(On black_bowl_1 plate_1),"in(L90), drawer(L90).",bowl 'in' drawer in Spatial scene.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl from table center and place it on the plate,(On black_bowl_1 plate_1),table_center(L-Spatial implicit).,retrieving from specific region.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl left of the ramekin and place it on the plate,(On black_bowl_1 plate_1),"left_of(L90: various), ramekin(L-Spatial).",applying 'left_of' to ramekin.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_left_of_the_ramekin_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl right of the cookie box and place it on the plate,(On black_bowl_1 plate_1),"right_of(L90: various), cookie_box(L-Spatial).",applying 'right_of' to cookie_box.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_right_of_the_cookie_box_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl in front of the plate and place it on the plate,(On black_bowl_1 plate_1),"front(L90: caddy/stove), plate(L90).",applying 'front' to plate.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_in_front_of_the_plate_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl behind the ramekin and place it on the plate,(On black_bowl_1 plate_1),"back(L90: caddy), ramekin(L-Spatial).",applying 'behind' to ramekin.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_behind_the_ramekin_and_place_it_on_the_plate
ER-SPATIAL,pick up the black bowl between the stove and the plate and place it on the plate,(On black_bowl_1 plate_1),"between(L-Spatial: plate/ramekin), stove(L-Spatial/L90), plate(L90).",novel landmark pair for 'between'.,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",pick_up_the_black_bowl_between_the_stove_and_the_plate_and_place_it_on_the_plate
ER-SPATIAL,LIVING ROOM SCENE5 put the white mug on the right plate,(On LIVING_ROOM_SCENE5_white_mug_1 right_plate_1),"white_mug(L90), right_plate(L90: red_mug).",putting white mug (usually left/center) on right plate.,Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE5_put_the_white_mug_on_the_right_plate
