suite,instruction,bddl_goal,seen_components,unseen_composition,scene,fixtures,original_task_id
ER-SEQUENTIAL,LIVING ROOM SCENE1 put both the alphabet soup and the cream cheese box in the basket,(And (In LIVING_ROOM_SCENE1_the_alphabet_soup_1 the_basket_1) (In the_cream_cheese_box_1 the_basket_1)),All components in L10/L90. This is an existing multi-step task used for testing sequencing.,Existing Task (None),Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket
ER-SEQUENTIAL,LIVING ROOM SCENE2 put both the alphabet soup and the tomato sauce in the basket,(And (In LIVING_ROOM_SCENE2_the_alphabet_soup_1 the_basket_1) (In the_tomato_sauce_1 the_basket_1)),All components in L10/L90. Existing task.,Existing Task (None),Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket
ER-SEQUENTIAL,LIVING ROOM SCENE2 put both the cream cheese box and the butter in the basket,(And (In LIVING_ROOM_SCENE2_the_cream_cheese_box_1 the_basket_1) (In the_butter_1 the_basket_1)),All components in L10/L90. Existing task.,Existing Task (None),Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket
ER-SEQUENTIAL,LIVING ROOM SCENE5 put the white mug on the left plate and put the yellow and white mug on the right plate,(On LIVING_ROOM_SCENE5_white_mug_1 left_plate_and_put_yellow_and_white_mug_1),All components. Existing task.,Existing Task (None),Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate
ER-SEQUENTIAL,LIVING ROOM SCENE6 put the white mug on the plate and put the chocolate pudding to the right of the plate,(On LIVING_ROOM_SCENE6_white_mug_1 plate_and_put_chocolate_pudding_to_right_of_plate_1),All components. Existing task.,Existing Task (None),Living Room,living_room_table (living_room_table),LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate
ER-SEQUENTIAL,STUDY SCENE1 pick up the book and place it in the back compartment of the caddy,MANUAL_CHECK_NEEDED,"book, back_compartment. Existing task.",Existing Task (None),Study,"study_table (study_table), caddy_1 (caddy)",STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy
ER-SEQUENTIAL,open the middle drawer and put the bowl inside,(Open middle_drawer_and_put_the_bowl_inside_1),"open_middle(L-Goal), put_bowl(L90).",chaining open and put actions for middle drawer.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",open_the_middle_drawer_and_put_the_bowl_inside
ER-SEQUENTIAL,open the middle drawer and put the wine bottle inside,(Open middle_drawer_and_put_the_wine_bottle_inside_1),"open_middle(L-Goal), put_wine(L90).",chaining open and put. WARNING: Check wine bottle fit.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",open_the_middle_drawer_and_put_the_wine_bottle_inside
ER-SEQUENTIAL,turn on the stove and put the bowl on it,(On turn_1 stove_and_put_bowl_1),"turn_on(L-Goal), put_bowl(L90).",chaining turn_on and put bowl on stove.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",turn_on_the_stove_and_put_the_bowl_on_it
ER-SEQUENTIAL,push the bowl and then push the plate,(On bowl_and_then_plate_1 target_region),"push(L-Goal), bowl(L90), plate(L90).",chaining two push actions.,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",push_the_bowl_and_then_push_the_plate
ER-SEQUENTIAL,KITCHEN SCENE4 open the top drawer put the bowl in and close it,(In KITCHEN_SCENE4_open_the_top_drawer_bowl_1 and_close_it_1),"open(L90), bowl(L90), close(L90).",3-step chain not seen explicitly with bowl in this scene.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",KITCHEN_SCENE4_open_the_top_drawer_put_the_bowl_in_and_close_it
ER-SEQUENTIAL,KITCHEN SCENE5 open the top drawer put the ketchup in and close it,(In KITCHEN_SCENE5_open_the_top_drawer_ketchup_1 and_close_it_1),"open(L90), ketchup(L90), close(L90).",3-step chain with ketchup.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE5_open_the_top_drawer_put_the_ketchup_in_and_close_it
ER-SEQUENTIAL,KITCHEN SCENE3 turn on the stove put the bowl on it and turn off,(On KITCHEN_SCENE3_turn_1 stove_put_bowl_1),"turn_on(L90), bowl(L90), turn_off(L90).",logical sequence of cooking-like actions.,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",KITCHEN_SCENE3_turn_on_the_stove_put_the_bowl_on_it_and_turn_off
ER-SEQUENTIAL,KITCHEN SCENE7 open the microwave put the bowl in and close it,(In KITCHEN_SCENE7_open_the_microwave_bowl_1 and_close_it_1),"open_microwave(L90), bowl(L90), close_microwave(L90).",3-step interaction with microwave using bowl.,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",KITCHEN_SCENE7_open_the_microwave_put_the_bowl_in_and_close_it
ER-SEQUENTIAL,LIVING ROOM SCENE1 put both the ketchup and the tomato sauce in the basket,(And (In LIVING_ROOM_SCENE1_the_ketchup_1 the_basket_1) (In the_tomato_sauce_1 the_basket_1)),"ketchup(L90), tomato(L90), basket(L90).",novel pair sequence.,Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE1_put_both_the_ketchup_and_the_tomato_sauce_in_the_basket
ER-SEQUENTIAL,LIVING ROOM SCENE2 put both the milk and the butter in the basket,(And (In LIVING_ROOM_SCENE2_the_milk_1 the_basket_1) (In the_butter_1 the_basket_1)),"milk(L90), butter(L90), basket(L90).",novel pair sequence. (Replaced OJ with butter for fit).,Living Room,"living_room_table (living_room_table), basket_1 (basket)",LIVING_ROOM_SCENE2_put_both_the_milk_and_the_butter_in_the_basket
ER-SEQUENTIAL,LIVING ROOM SCENE3 put both the butter and the ketchup in the tray,(And (In LIVING_ROOM_SCENE3_the_butter_1 the_tray_1) (In the_ketchup_1 the_tray_1)),"butter(L90), ketchup(L90), tray(L90).",novel pair sequence.,Living Room,"living_room_table (living_room_table), wooden_tray_1 (wooden_tray)",LIVING_ROOM_SCENE3_put_both_the_butter_and_the_ketchup_in_the_tray
ER-SEQUENTIAL,LIVING ROOM SCENE4 put both the chocolate pudding and the salad dressing in the tray,(And (In LIVING_ROOM_SCENE4_the_chocolate_pudding_1 the_tray_1) (In the_salad_dressing_1 the_tray_1)),"pudding(L90), dressing(L90), tray(L90).",novel pair sequence.,Living Room,"living_room_table (living_room_table), wooden_tray_1 (wooden_tray)",LIVING_ROOM_SCENE4_put_both_the_chocolate_pudding_and_the_salad_dressing_in_the_tray
ER-SEQUENTIAL,KITCHEN SCENE1 open the bottom drawer and put the bowl in it,(In KITCHEN_SCENE1_open_the_bottom_drawer_and_bowl_1 it_1),"open_bottom(L90-SCENE4), bowl(L90).",transferring open+put pattern to SCENE1.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE1_open_the_bottom_drawer_and_put_the_bowl_in_it
ER-SEQUENTIAL,KITCHEN SCENE2 stack the bowls and put them on the plate,(On KITCHEN_SCENE2_stack_the_bowls_and_them_1 plate_1),"stack(L90), bowl(L90), plate(L90).",complex manipulation sequence.,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet)",KITCHEN_SCENE2_stack_the_bowls_and_put_them_on_the_plate
ER-SEQUENTIAL,put both chocolate pudding and salad dressing in basket,(And (In chocolate_pudding_1 basket_1) (In salad_dressing_1 basket_1)),"pudding(L-Obj), dressing(L-Obj), basket(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_chocolate_pudding_and_salad_dressing_in_basket
ER-SEQUENTIAL,put both alphabet soup and chocolate pudding in basket,(And (In alphabet_soup_1 basket_1) (In chocolate_pudding_1 basket_1)),"soup(L-Obj), pudding(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_alphabet_soup_and_chocolate_pudding_in_basket
ER-SEQUENTIAL,put both butter and chocolate pudding in basket,(And (In butter_1 basket_1) (In chocolate_pudding_1 basket_1)),"butter(L-Obj), pudding(L-Obj).",Existing Task (None),Object Tabletop,"main_table (table), basket_1 (basket)",put_both_butter_and_chocolate_pudding_in_basket
